Bean (noun)	Đậu (quả)	/bin/	Ví dụ: Lam doesn’t like green beans.	(Lâm không thích đậu xanh)
Bell pepper (noun)	Ớt chuông	bɛl ˈpɛpər/	Ví dụ: Bell peppers are rich of vitamin C.	(Ớt chuông rất giàu vitamin C)
Broccoli (noun)	Súp lơ xanh	/ˈbrɑkəli/	Ví dụ: Do you like broccoli?	(Cậu có thích ăn súp lơ xanh không?)
Cabbage (noun)	Bắp cải	/ˈkæbɪʤ/	Ví dụ: I like all vegetables except for cabbage.	(Tớ thích mọi loại rau củ trừ bắp cải)
Carrot (noun)	Cà rốt	/ˈkærət/	Ví dụ: Rabbits love carrots.	(Thỏ rất thích cà rốt)
Celery (noun)	Cần tây	/ˈsɛləri/	Ví dụ:  Celery juice is good for health.	(Nước ép cần tây rất tốt cho sức khỏe)
Chili (noun)	Ớt	/ˈʧɪli/	Ví dụ: Would you mind passing on the chili sauce?	(Cảm phiền bạn đưa tớ chai tương ớt được không?)
Corn (noun)	Ngô	/kɔrn/	Ví dụ: Here is some corn candy for you.	(Một ít kẹo ngô dành cho cậu đây này)
Cucumber (noun)	Dưa chuột	/ˈkjukəmbər/	Ví dụ: I would like a banh mi with no cucumber please.	(Tôi muốn dùng một chiếc bánh mì không dưa chuột, làm ơn)
Eggplant (noun)	Cà tím	/ˈɛgˌplænt/	Ví dụ: They are making eggplant soup for dinner.	(Họ đang nấu canh cà tím cho bữa tối)
Garlic (noun)	Tỏi	/ˈgɑrlɪk/	Ví dụ: Be careful. Too much garlic will ruin the dish!	(Cẩn thận nhé. Nhiều tỏi quá sẽ làm hỏng món ăn đấy!)
Ginger (noun)	Gừng	/ˈʤɪnʤər/	Ví dụ: My mom makes some ginger tea everyday in winter time.	(Mẹ tôi pha trà gừng mỗi ngày vào mùa đông)
Lettuce (noun)	Xà lách	/ˈlɛtəs/	Ví dụ: Tim’s mom asks him to help her wash the lettuce.	(Mẹ Tim nhờ cậu bé rửa rau xà lách)
Mushroom (noun)	Nấm	/ˈmʌʃrum/	Ví dụ: Have you ever tried mushroom hotpot?	(Bạn đã thử ăn lẩu nấm bao giờ chưa?)
Onion (noun)	Hành tây	/ˈʌnjən/	Ví dụ: Is there onion in this burger?	(Trong bánh hamburger này có hành tây không vậy?)
Pea (noun)	Đậu (hạt)	/pi/	Ví dụ: Peas are usually boiled or steamed.	(Đậu hạt thường được chế biến luộc hoặc hấp)
Potato (noun)	Khoai tây	/pəˈteɪˌtoʊ/	Ví dụ: These potatoes look s fresh!	(Mấy củ khoai tây này trông tươi quá!)
Pumpkin (noun)	Bí ngô	/ˈpʌmpkɪn/	Ví dụ: Pumpkin is a symbol of Halloween.	(Bí ngô là một biểu tượng của lễ Halloween)
Spinach (noun)	Rau bina	/ˈspɪnəʧ/	Ví dụ: Raw spinach is 91% water.	(Rau bina tươi có tới 91% là nước)
Tomato (noun)	Cà chua	/təˈmeɪˌtoʊ/	Ví dụ: Tomatoes are a great ource of vitamin C & vitamin K.	(Cà chua là một nguồn chứa nhiều vitamin C & K)
