Air (noun)	Không khí	/ɛr/	Ví dụ: I opened the window to let in some fresh air.	(Tôi mở cửa sổ để lấy chút không khí trong lành)
Bright (adjective)	Nắng sáng, tươi sáng	/braɪt/	Ví dụ: It was a bright day with the sun shining and the wind blowing.	(Đó là một ngày trời tươi sáng với mặt trời chiếu sáng và gió thổi lồng lộng)
Chilly (adjective)	Lạnh lẽo	/ˈʧɪli/	Ví dụ: The room is so chilly that I have to put on my jacket.	(Căn phòng lạnh lẽo làm tôi phải mặc thêm áo khoác)
Clear (adjective)	Trong xanh, không có mây	/klɪr/	Ví dụ: The sky tonight is clear so we can easily see the stars.	(Bầu trời tối nay không có mây nên chúng tôi có thể dễ dàng nhìn ngắm những vì sao)
Cloudy (adjective)	Nhiều mây	/ˈklaʊdi/	Ví dụ: According to the weather forecast, tomorrow is going to be a cloudy day.	(Theo dự báo thời tiết, ngày mai sẽ là một ngày trời nhiêu mây)
Cold (adjective)	Lạnh	/koʊld/	Ví dụ: Hanoi has a cold winter.	(Hà Nội có một mùa đông lạnh)
Cool (adjective)	Mát mẻ, mát trời	/kul/	Ví dụ: We should go out and play since today is a cool day.	(Chúng ta nên ra ngoài chơi vì hôm nay là một ngày mát trời)
Dry (adjective)	Khô ráo, khô hanh	/draɪ/	Ví dụ: The air was dry and hot, as if it was summer.	(Không khí khô và nóng, tưởng như đang là mùa hè)
Fine (adjective)	Đẹp trời	/faɪn/	Ví dụ: It is a fine day. How about going out for a walk?	(Hôm nay là một ngày đẹp trời. Chúng mình ra ngoài đi dạo thì sao nhỉ?)
Foggy (adjective)	Trời nhiều sương	/ˈfɑgi/	Ví dụ: They cannot watch the sunrise because it is foggy in the morning.	(Họ không thể ngắm bình minh vì trời nhiều sương vào buổi sáng)
Forecast (verb), (noun)	Dự báo (thời tiết)	/ˈfɔrˌkæst/	Ví dụ: The national weather forecast on television was calling for light rain in Hanoi this weekend.	(Bản tin dự báo thời tiết toàn quốc trên TV dự báo mưa nhỏ tại Hà Nội vào cuối tuần này).
Freezing (adjective)	Rét run, lạnh cóng	/ˈfrizɪŋ/	Ví dụ: As the temperature has dropped to 9 Celcius degree, it is freezing outside.	(Vì nhiệt độ đã giảm xuống còn 9 độ C nên ngoài trời đang lạnh cóng)
Hot (adjective)	Nóng	/hɑt/	Ví dụ: This is the hottest summer I have ever seen.	(Đây là mùa hè nóng nhất mà tôi từng thấy)
Humid (adjective)	Nóng ẩm, ẩm ướt	/ˈhjuməd/	Ví dụ: It is so humid that I’ve had to change my shirt twice already.	(Trời nóng ẩm đến mức mà tôi đã phải thay 2 cái áo phông rồi đấy)
Rainy (adjective)	Có mưa	/ˈreɪni/	Ví dụ: Today is a rainy day. Remember to bring your umbrella.	(Hôm nay là một ngày có mưa. Nhớ mang ô của bạn đi nhé)
Snowy (adjective)	Có tuyết	/ˈsnoʊi/	Ví dụ: There are many snowy days in December in Europe.	(Có rất nhiều ngày có tuyết vào tháng 12 tại châu Âu)
Storm (noun)	Bão	/stɔrm/	Ví dụ: The Central Vietnam has to face more than 10 storms a year.	(Miền Trung Việt Nam phải hứng chịu nhiều hơn 10 cơn bão một năm)
Sunny (adjective)	Trời có nắng	/ˈsʌni/	Ví dụ: A sunny day in the beach is all I wish for now.	(Một ngày nắng tại bờ biển là tất cả những gì tôi ao ước lúc này)
Warm (adjective)	Ấm áp	/wɔrm/	Ví dụ: It was a warm afternoon in August.	(Đó là một buổi chiều ấm áp vào tháng Tám)
Windy (adjective)	Có gió	/ˈwɪndi/	Ví dụ: A windy day is perfect to go sailing.	(Một ngày có gió là tuyệt vời để đi chèo thuyền)
