Aunt (noun)	Người dì	/Ænt/	Ví dụ: My aunt will visit me in the New year.	(Dì tôi sẽ tới thăm tôi vào dịp đầu Năm mới)
Birth (noun)	Sự sinh ra, sự chào đời	/bɜrθ/	Ví dụ: The birth of her son makes Taylor extremely happy.	(Sự chào đời của con trai cô ấy khiên Taylor vô cùng hạnh phúc)
Brother (noun)	Anh/em trai	/ˈbrʌðər/	Ví dụ: I have two brothers, one is 10 and the other is 17.	(Tôi có 2 anh em trai, một người 10 tuổi và người còn lại 17)
Close (adjective)	Gần gũi, gắn bó	/kloʊs/	Ví dụ: Every members in Clara’s family is close to eachother.	(Mọi thành viên trong gia đình Clara đều rất gần gũi với nhau)
Cousin (noun)	Anh chị em họ	/ˈkʌzən/	Ví dụ: I have a beautiful 5-year-old cousin named Linh.	(Tôi có một người em họ 5 tuổi xinh xắn tên là Linh)
Daughter (noun)	Con gái	/ˈdɔtər/	Ví dụ: Tammy has just bought her daughter a pink princess dress.	(Tammy vừa mua cho con gái cô ấy một chiếc váy công chúa màu hồng)
Divorce (verb) – (noun)	Li hôn, li dị	/dɪˈvɔrs/	Ví dụ: The divorce of Amy’s parents upsets her for months.	(Cuộc li hôn của cha mẹ khiến Amy buồn hàng tháng trời)
Ex-wife (noun)	Vợ cũ	/ɛks-waɪf/	Ví dụ: After the divorce, Jake still remains friend with his ex-wife.	(Sau li hôn, Jake vẫn làm bạn với vợ cũ)
Father (noun)	Cha/Bố	/ˈfɑðər/	Ví dụ: My father is a kind and generous man.	(Bố tôi là một người tốt bụng và hào phóng)
Grandparents (noun)	Ông bà	/ˈgrændˌpɛrənts/	Ví dụ: Every summer, Tim gets to visit his grandparents house and stays there for a month.	(Mỗi mùa hè, Tim đều được đến thăm nhà ông bà và ở lại chơi trong một tháng)
Husband (noun)	Người chồng	/ˈhʌzbənd/	Ví dụ: Her husband has just come home after a long trip from the US.	(Chồng cô ấy vừa trở về nhà sau một chuyến đi dài từ Mĩ)
Kid/Child (noun)	Con cái	/kɪd/ – /ʧaɪld/	Ví dụ: She would like to have 3 kids when she is married.	(Cô ấy muốn có 3 đứa con sau khi kết hôn)
Marry (verb)	Cưới	/ˈmɛri/	Ví dụ: Would you marry me? (Em sẽ cưới anh chứ?)
Mother (noun)	Mẹ	/ˈmʌðər/	Ví dụ: Mother’s Day is celebrated on a Sunday in May.	(Ngày của Mẹ được tổ chức vào một ngày Chủ nhật trong tháng Năm)
Mother-in-law (noun)	Mẹ chồng	/ˈmʌðərɪnˌlɔ/	Ví dụ: Modern women don’t like to live with their mother-in-law.	(Phụ nữ hiện đại không thích sống chung với mẹ chồng)
Niece/Nephew (noun)	Cháu trai/Cháu gái (con của anh/chị/em)	/nis/ –/ˈnɛfju/	Ví dụ: I gave my nephew a toy car as a birthday present.	(Tôi tặng cháu trai tôi một chiếc ô tô đồ chơi làm quà sinh nhật)
Parents (noun)	Cha mẹ, phụ huynh	/ˈpɛrənts/	Ví dụ: My parents are travelling to Paris.	(Bố mẹ tôi đang đi du lịch tới Paris)
Pregnant (adjective)	Mang thai	/ˈprɛgnənt/	Ví dụ: She was only 18 when she found out she was pregnant.	(Cô ấy chỉ mới 18 tuổi khi biết mình đã mang thai)
Relative (noun)	Họ hàng	/ˈrɛlətɪv/	Ví dụ: Barry has some relatives living in Vietnam.	(Barry có vài người họ hàng sống ở Việt Nam)
Sibling (noun)	Anh chị em	/ˈsɪblɪŋ/	Ví dụ: There is often competition between siblings.	(Thông thường sẽ có sự cạnh tranh giữa anh chị em trong một gia đình)
Sister (noun)	Chị em gái	/ˈsɪstər/	Ví dụ: Selena and Sally are twin sisters.	(Selena và Sally là chị em sinh đôi)
Son (noun)	Con trai	/sʌn/	Ví dụ: He has a 3-year-old son named Timmy.	(Anh ấy có một người con trai 3 tuổi tên là Timmy)
Step-mom (noun)	Mẹ kế, dì ghẻ	/stɛp-mɑm/	Ví dụ: Cinderella’s step-mom is a cruel woman.	(Mẹ kế của Lọ Lem là một người phụ nữ độc ác)
Uncle (noun)	Người chú/cậu/bác	/ˈʌŋkəl/	Ví dụ: Jake’s uncle is a famous MC.	(Chú của Jake là một người dẫn chương trình nổi tiếng)
Wife (noun)	Người vợ	/waɪf/	Ví dụ: She is such a good wife to always take good care of her family.	(Cô ấy đúng là một người vợ tốt khi luôn chăm lo chu đáo cho gia đình)
