Black (noun)	Màu đen	/blæk/	Ví dụ: I would like a black coffee, please! (Tôi muốn dùng một ly café đen, làm ơn!)
Blue (noun)	Màu xanh dương	/blu/	Ví dụ: The sky is so blue today.	(Bầu trời hôm nay thật trong xanh)
Brown (noun)	Màu nâu	/braʊn/	Ví dụ: She has beautiful brown eyes.	(Cô ấy có đôi mắt màu nâu tuyệt đẹp)
Color (noun)	Màu sắc	/ˈkʌlər/	Ví dụ: We are going to choose paint color for our bedroom.	(Chúng tôi chuẩn bị chọn màu sơn cho phòng ngủ)
Colorful (adjective)	Rực rỡ, nhiều màu sắc	/ˈkʌlərfəl/	Ví dụ: The kid’s painting is very colorful.	(Bức vẽ của đứa trẻ rất nhiều màu sắc)
Dark (adjective)	Tối (màu)	/dɑrk/	Ví dụ:He likes to wear dark color clothes so as to look skinnier.	(Anh ấy thích mặc quần áo tối màu để trông gầy hơn)
Green (noun)	Màu xanh lá	/grin/	Ví dụ: Leo buys a new plant too add some green into his room.	(Leo mua một cây cảnh mới để thêm chút sắc xanh vào phòng mình)
Grey (noun)	Màu xám	/greɪ/	Ví dụ: Grey is a neutral color.	(Màu xám là một màu trung tính)
Light (adjective)	Sáng (màu)	/laɪt/	Ví dụ: The room is decorated with ligh colors such as white and pink.	(Căn phòng được trang trí bằng các màu sáng như trắng và hồng)
Orange (noun)	Màu cam	ˈ/ɔrənʤ/	Ví dụ: He likes orange as it is a vibrant color and shows his cheerful personality.	(Anh ấy thích màu cam vì đó là một màu sắc rực rỡ và thể hiện tính cách vui vẻ của mình)
Paint (noun)	Sơn, màu vẽ	/peɪnt/	Ví dụ: I need to buy 5 bottles of paint to paint my living room.	(Tôi cần mua 5 lọ sơn để sơn tường phòng khách nhà mình)
Pink (noun)	Màu hồng	/pɪŋk/	Ví dụ: Girls are thought to like pink.	(Con gái được cho là thích màu hồng)
Purple (noun)	Màu tím	/ˈpɜrpəl/	Ví dụ: Ladies love purple dresses since they look elegant and luxurious.	(Các quý bà thích những chiếc váy màu tím vì chúng trông thanh lịch và sang trọng)
Red (noun)	Màu đỏ	/rɛd/	Ví dụ: The red tomatoes have just been harvested.	(Những quả cà chua chín đỏ vừa được thu hoạch)
Shade (noun)	Sắc độ	/ʃeɪd/	Ví dụ:Of the same color there are many different shades.	(Cùng một màu sắc có rất nhiều sắc độ khác nhau)
White (noun)	Màu trắng	/waɪt/	Ví dụ: The White House is a famous place to visit in Washington DC, US.	(Nhà Trắng là một địa điểm tham quan nổi tiếng tại Washington DC, Mỹ)
Yellow (noun)	Màu vàng	ˈ/jɛloʊ/	Ví dụ: The ducklings have bright yellow feather.	(Những chú vịt con có bộ lông màu vàng tươi)
