Actor/Actress (noun)	Diễn viên nam/nữ	/ˈæktər/ – /ˈæktrəs/	Ví dụ: Brad Pitt is a world famous actor.	(Brad Pitt là một nam diễn viên nổi tiếng toàn cầu)
Architect (noun)	Kiến trúc sư	/ˈɑrkəˌtɛkt/	Ví dụ: Who is the architect of the Eiffel Tower?	(Ai là kiến trúc sư của tháp Eiffel?)
Baker (noun)	Thợ làm bánh	/ˈbeɪkər/	Ví dụ: My mom is the town’s favorite baker.	(Mẹ tôi là thợ làm bánh được yêu mến của thị trấn)
Businessman (noun)	Doanh nhân	/ˈbɪznəˌsmæn/	Ví dụ: There is something so powerful in successful businessmen.	(Có gì đó thật quyền lực ở các doanh nhân thành đạt)
Chef (noun)	Bếp trưởng	/ʃɛf/	Ví dụ: Can I talk to the chef please?	(Tôi có thể nói chuyện với bếp trưởng được không?)
Cleaner/Janitor (noun)	Lao công, dọn dẹp	/ˈklinər/ – /ˈʤænətər/	Ví dụ: The school’s janitor usually stays until 7pm to finish her work.	(Cô lao công của trường học thường ở lại đến 7 giờ tối để hoàn thành công việc)
Dentist (noun)	Nha sĩ	/ˈdɛntəst/	Ví dụ: I hate going to the dentist.	(Tớ ghét đến gặp nha sĩ lắm)
Designer (noun)	Nhà thiết kế	/dɪˈzaɪnər/	Ví dụ: This dress is made by a famous designer.	(Cái váy này được làm ra bởi một nhà thiết kế danh tiếng)
Engineer (noun)	Kỹ sư	/ˈɛnʤəˈnɪr/	Ví dụ: We need to hire 2 more engineers for our company.	(Chúng ta cần thuê thêm 2 kỹ sư cho công ty)
Farmer (noun)	Người nông dân	/ˈfɑrmər/	Ví dụ: The farmers started to harvest the crops.	(Những người nông dân bắt đầu thu hoạch cây trồng)
Fireman (noun)	Lính cứu hỏa	/ˈfaɪrmən/	Ví dụ: He grows up dreaming to be a fireman.	(Cậu ấy lớn lên mơ ước được trở thành một lính cứu hỏa)
Fisherman (noun)	Ngư dân	/ˈfɪʃərˌmæn/	Ví dụ: The fisherman’s job is very dangerous.	(Công việc của ngư dân rất nguy hiểm)
Florist (noun)	Người bán hoa	/ˈflɑrɪst/	Ví dụ: Why did you decide to become a florist?	(Tại sao bạn quyết định trở thành một người bán hoa?)
Gardener (noun)	Người làm vườn	/ˈgɑrdənər/	Ví dụ: Mr. Green, our gardener needs to take 2 weeks off.	(Ông Green, người làm vườn của chúng ta cần xin nghỉ 2 tuần)
Hairdresser (noun)	Thợ làm tóc, tiệm làm tóc	/ˈhɛrˌdrɛsər/	Ví dụ: Here is the address of the hairdresser I recommend you last time.	(Đây là địa chỉ của thợ làm tóc tớ giới thiệu với cậu lần trước)
Journalist (noun)	Phóng viên	/ˈʤɜrnələst/	Ví dụ: A journalist is the one who find and reveal the truths to the world.	(Phóng viên là người đi tìm và tiết lộ sự thật cho thế giới)
Judge (noun)	Thẩm phán	/ʤʌʤ/	Ví dụ: The judge announced that he was innocent.	(Thẩm phán tuyên bố rằng anh ấy vô tội)
Lawyer (noun)	Luật sư	/ˈlɔjər/	Ví dụ: I will hire you the best lawyer I know for your case.	(Tôi sẽ thuê cho anh luật sư tốt nhất mà tôi biết cho vụ kiện của anh)
Mechanic (noun)	Thợ cơ khí	/məˈkænɪk/	Ví dụ: Mechanics build things and fix things.	(Thợ cơ khí làm nên và sửa chữa các loại đồ dùng)
Model (noun)	Người mẫu	/ˈmɑdəl/	Ví dụ: You need to be tall to be a model.	(Bạn phải cao để trở thành người mẫu)
Pilot (noun)	Phi công	/ˈpaɪlət/	Ví dụ: Is this your first flight as a pilot?	(Đây có phải chuyến bay đầu tiên của cậu với tư cách phi công không?)
Plumber (noun)	Thợ sửa ống nước	/ˈplʌmər/	Ví dụ: The sink is broken. Please call the plumber.	(Bồn rửa hỏng rồi. Làm ơn gọi thợ sửa ống nước đi)
Policeman (noun)	Cảnh sát	/pəˈlismən/	Ví dụ: Tony has been a policeman for almost 30 years.	(Tony đã làm một cảnh sát trong gần 30 năm)
Scientist (noun)	Nhà khoa học	/ˈsaɪəntɪst/	Ví dụ: Marie Curie is one legendary scientist in the history.	(Marie Curie là một nhà khoa học lỗi lạc trong lịch sử)
Security man (noun)	Bảo vệ	/sɪˈkjʊrəti mən/	Ví dụ: The security man drags the homeless man out of the building.	(Bảo vệ lôi người đàn ông vô gia cư ra khỏi tòa nhà)
Soldier (noun)	Người lính	/ˈsoʊlʤər/	Ví dụ: He is a soldier coming back from Afghanistan.	(Anh ấy là một người lính trở về từ chiến trường Afghanistan)
Tailor (noun)	Thợ may	/ˈteɪlər/	Ví dụ: Please call the tailor if the coat doesn’t fit you.	(Hãy gọi cho thợ may nếu chiếc áo khoác không vừa người cậu)
Waiter/Waitress (noun)	Bồi bàn (nam/nữ)	/ˈweɪtər/ – /ˈweɪtrəs/	Ví dụ: She is a new waitress so she cannot avoid mistakes.	(Cô ấy là một nữ bồi bàn mới nên cô ấy không thể tránh khỏi sai sót)
Worker (noun)	Công nhân	/ˈwɜrkər/	Ví dụ: When being given poor working conditions, workers may strike.	(Khi được cho những điều kiện làm việc tồi tệ, công nhân có thể sẽ đình công)
