Bed (noun)	Cái giường	/bɛd/	Ví dụ: Get out of bed now you are late for school!	(Rời giường đi cậu đang muộn học rồi!)
Blanket (noun)	Cái chăn	/ˈblæŋkɪt/	Ví dụ: Don’t forget to fold the blanket after you wake up!.	(Đừng quên gấp chăn sau khi cậu thức dậy!)
Closet (noun)	Tủ quần áo	/ˈklɑzət/	Ví dụ: You have too much clothes. I think you need a new closet.	(Cậu có quá nhiều quần áo, tớ nghĩ cậu cần một cái tủ quần áo mới)
Comfortable (adjective)	Thoải mái, dễ chịu	/ˈkʌmfərtəbəl/	Ví dụ: I feel so comfortable lying in my bed.	(Tôi thấy thật dễ chịu khi nằm trên chiếc giường của mình)
Drawer (noun)	Ngăn kéo	/drɔr/	Ví dụ: The extra blanket is in the second drawer.	(Cái chăn dự phòng nằm trong ngăn kéo thứ 2)
Dressing table (noun)	Bàn trang điểm	/ˈdrɛsɪŋ ˈteɪbəl/	Ví dụ: This dressing table should be put at the corner of the bedroom.	(Cái bàn trang điểm này nên được đặt ở góc phòng ngủ)
Mattress (noun)	Cái đệm	/ˈmætrəs/	Ví dụ: We forgot to buy a mattress for our new bed.	(Chúng tôi quên mua một cái đệm cho chiếc giường mới của chúng tôi)
Mirror (noun)	Cái gương	/ˈmɪrər/	Ví dụ: This mirror is too big for the bedroom.	(Cái gương này quá to so với phòng ngủ)
Pillow (noun)	Cái gối	/ˈpɪloʊ/	Ví dụ: Sleeping on high pillows hurts my neck.	(Ngủ gối đầu trên gối cao làm tôi bị đau cổ)
Rest (verb)	Nghỉ ngơi	/rɛst/	Ví dụ: Bedroom is the place to rest.	(Phòng ngủ là nơi để nghỉ ngơi)
Sleep (verb)	Đi ngủ; (noun)	Giấc ngủ	/slip/	Ví dụ: You look tired. Why don’t you go get some sleep?	(Trông cậu mệt mỏi quá. Sao cậu không đi ngủ một giấc đi?)
Wardrobe (noun)	Tủ quần áo	/ˈwɔrˌdroʊb/	Ví dụ: My wardrobe is full of shirts and jeans.	(Tủ quần áo của tôi toàn là áo sơ mi và quần jean)
